기준일ID,시간대구분,행정동코드,총생활인구수
20260602,20,11200615,18055.7133
20260602,20,11200620,11250.3121
20260602,20,11200645,28066.4899
20260602,20,11200650,16888.4453
20260602,20,11200660,22918.2152
20260602,20,11200670,17071.1154
20260602,20,11200690,36285.4856
20260602,20,11200720,8555.334
20260602,20,11200790,16046.2333
20260602,21,11200520,15744.5461
20260602,21,11200535,21668.3849
20260602,21,11200540,18342.4106
20260602,21,11200550,29163.2988
20260602,21,11200560,44504.7785
20260602,21,11200570,17189.8987
20260602,21,11200580,10435.6761
20260602,21,11200590,12575.0739
20260602,21,11200615,18806.7285
20260602,21,11200620,11638.2095
20260602,21,11200645,28929.6533
20260602,21,11200650,16294.9929
20260602,21,11200660,21756.4418
20260602,21,11200670,16200.6912
20260602,21,11200690,32409.9674
20260602,21,11200720,9117.4236
20260602,21,11200790,16243.0097
20260602,22,11200520,16710.6717
20260602,22,11200535,22252.4508
20260602,22,11200540,19254.7893
20260602,22,11200550,27314.6647
20260602,22,11200560,41551.3871
20260602,22,11200570,18195.1543
20260602,22,11200580,11557.4223
20260602,22,11200590,12850.581
20260602,22,11200615,19715.0137
20260602,22,11200620,11962.9954
20260602,22,11200645,29688.0687
20260602,22,11200650,15631.1432
20260602,22,11200660,20577.8239
20260602,22,11200670,16180.7838
20260602,22,11200690,27797.209
20260602,22,11200720,9669.3613
20260602,22,11200790,16323.7155
20260602,23,11200520,17006.1562
20260602,23,11200535,20971.7859
20260602,23,11200540,19850.3854
20260602,23,11200550,24000.5157
20260602,23,11200560,40733.1132
20260602,23,11200570,20148.4011
20260602,23,11200580,12913.7602
20260602,23,11200590,13934.3752
20260602,23,11200615,20851.2016
20260602,23,11200620,11037.2788
20260602,23,11200645,27513.9485
20260602,23,11200650,13711.9847
20260602,23,11200660,17303.3625
20260602,23,11200670,16226.7361
20260602,23,11200690,28001.6194
20260602,23,11200720,10532.0609
20260602,23,11200790,15527.5706
20260603,0,11200520,17289.5706
20260603,0,11200535,20799.4715
20260603,0,11200540,19924.4352
20260603,0,11200550,23165.7378
20260603,0,11200560,37687.8747
20260603,0,11200570,19967.4408
20260603,0,11200580,13013.1769
20260603,0,11200590,14005.0404
20260603,0,11200615,20991.6278
20260603,0,11200620,11020.6388
20260603,0,11200645,27116.7634
20260603,0,11200650,13672.6969
20260603,0,11200660,17258.758
20260603,0,11200670,16042.3968
20260603,0,11200690,26636.9266
20260603,0,11200720,10770.2639
20260603,0,11200790,15749.7386
20260603,1,11200520,17285.4652
20260603,1,11200535,21001.5783
20260603,1,11200540,20229.8565
20260603,1,11200550,22583.512
20260603,1,11200560,37038.1462
20260603,1,11200570,20108.1933
20260603,1,11200580,12830.4417
20260603,1,11200590,13991.9447
20260603,1,11200615,21118.6594
20260603,1,11200620,11137.4117
20260603,1,11200645,27190.1966
20260603,1,11200650,13549.6708
20260603,1,11200660,17257.6591
20260603,1,11200670,16007.066
20260603,1,11200690,26485.2759
20260603,1,11200720,10885.1271
20260603,1,11200790,15711.6227
20260603,2,11200520,17417.9007
20260603,2,11200535,21038.602
20260603,2,11200540,20254.7807
20260603,2,11200550,22420.5633
20260603,2,11200560,36741.3245
20260603,2,11200570,20063.3892
20260603,2,11200580,13020.0589
20260603,2,11200590,14057.8195
20260603,2,11200615,21232.6263
20260603,2,11200620,11187.124
20260603,2,11200645,27280.4578
20260603,2,11200650,13874.2399
20260603,2,11200660,16940.6051
20260603,2,11200670,15922.7479
20260603,2,11200690,25938.8896
20260603,2,11200720,10862.9263
20260603,2,11200790,15796.2964
20260603,3,11200520,17587.2753
20260603,3,11200535,21294.6124
